Retailer Name,Location,City,State,Country,Region,Activity Start Date,Activity End Date,Brand Model #,Brand Name,Category,Trademark,Three Files,Piano Sound,Distributor,Country of Origin,Manufacture Date,Price,Evidence
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Mr Light 32,Mr Light,DMT,No,No,No,,,,7500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ced1
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32,Lifeguard,DMT,No,No,No,,,,8990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cece
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Lanz 32,Lanz,DMT,No,No,No,,,,8490,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ced0
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Gloria 32,IMPEX,DMT,No,No,No,"Jinpin Electrical Co., Ltd.",China,,10990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cecc
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Gloria 50,IMPEX,DMT,No,Yes,No,"Jinpin Electrical Co., Ltd.",China,35990,,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ced6
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,IBLLE320H,iBELL,DMT,No,No,No,"Guangdong Asano Technology Co., Ltd",China,,12900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cecd
Mayoori Electronics,Trivandrum Vizhinjam Rd Manacaud Thiruvananthapuram Kerala 695009 India,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Lumina 32,Autrium,DMT,No,No,No,,,,5900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ced3
QRS Retail Ltd,"Thilagaraj, Karamana, Thiruvananthapuram - 695 002, Kerala, India.",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32OA,VU,DMT,Yes,Yes,Both,VU Technologies Pvt Ltd.,China,,13500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4f4
QRS Retail Ltd,"Thilagaraj, Karamana, Thiruvananthapuram - 695 002, Kerala, India.",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43OA,VU,DMT,Yes,Yes,Both,HISENSE INTERNATIONAL CO. LTD,China,,34800,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4f1
QRS Retail Ltd,"Thilagaraj, Karamana, Thiruvananthapuram - 695 002, Kerala, India.",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,50OA,VU,DMT,Yes,Yes,Both,HISENSE INTERNATIONAL CO. LTD,China,,40900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4f2
QRS Retail Ltd,"Thilagaraj, Karamana, Thiruvananthapuram - 695 002, Kerala, India.",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32W4,SKYWORTH,DMT,No,Yes,No,Skyquad Electronics & Appliances Pvt. Ltd.,India,,11000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4f3
QRS Retail Ltd,"Thilagaraj, Karamana, Thiruvananthapuram - 695 002, Kerala, India.",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40A2A11A,SKYWORTH,DMT,No,Yes,Both,Dixon Technologies (India) Ltd,India,,17000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4f0
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43PL,VU,DMT,Yes,Yes,Both,VU Technologies Pvt Ltd.,China,,24600,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c527
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32OA,VU,DMT,Yes,Yes,Both,VU Technologies Pvt Ltd.,China,,14200,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c525
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43OA,VU,DMT,Yes,Yes,Both,HISENSE INTERNATIONAL CO. LTD,China,,24600,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c526
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32GVSM,VU,DMT,No,Yes,No,Genus Electrotech Limited,India,,14200,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c521
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32G300,TCL ,DMT,No,Yes,Both,TCL King Electrical Appliances Huizhou Co Ltd,China,,9990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c523
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40G300,TCL ,DMT,Yes,Yes,Both,Mirc Electronics Ltd,India,,29990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c524
QRS,TC 5 Planet X Sree Dhanya Homes Apartments Ground Floor 3242 Sreekariyam - Aakkulam Rd near Planet X Sree Dhanya Homes Apartments Ulloor Gowari Nagar Sreekariyam Thiruvananthapuram Kerala 695011,Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE32D2000,Haier,DMT,No,Yes,No,Videotex International Pvt. Ltd.,India,July 2019,13000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c520
